case_id,article_id
PMC10405809_01,PMC10405809
PMC10434843_01,PMC10434843
PMC10488652_01,PMC10488652
PMC10521634_01,PMC10521634
PMC10710131_01,PMC10710131
PMC11131390_01,PMC11131390
PMC11259348_01,PMC11259348
PMC11259348_02,PMC11259348
PMC11345641_01,PMC11345641
PMC11368112_01,PMC11368112
PMC11722600_01,PMC11722600
PMC11722600_02,PMC11722600
PMC11723754_01,PMC11723754
PMC11783470_01,PMC11783470
PMC12832199_01,PMC12832199
PMC2700431_01,PMC2700431
PMC2817501_01,PMC2817501
PMC3437073_01,PMC3437073
PMC3557982_01,PMC3557982
PMC3859158_01,PMC3859158
PMC3897989_01,PMC3897989
PMC3917415_01,PMC3917415
PMC3950436_01,PMC3950436
PMC4073451_01,PMC4073451
PMC4310058_01,PMC4310058
PMC4782471_01,PMC4782471
PMC4828947_01,PMC4828947
PMC4835621_01,PMC4835621
PMC5137649_01,PMC5137649
PMC5804616_01,PMC5804616
PMC5833205_01,PMC5833205
PMC5875137_01,PMC5875137
PMC6134951_01,PMC6134951
PMC6949661_01,PMC6949661
PMC7086412_01,PMC7086412
PMC7086412_02,PMC7086412
PMC7718649_01,PMC7718649
PMC8627357_01,PMC8627357
PMC9387390_01,PMC9387390
PMC9529523_01,PMC9529523
PMC9532611_01,PMC9532611
PMC9532611_02,PMC9532611
PMC9815523_01,PMC9815523
PMC9969157_01,PMC9969157
